beadsize	noise	sigma	SNR	kappa	tau_r	D	gam	delta_g	alpha
0.5	4.8	19.41814152238793	4.045446150497486	10.9	0.36	1	0.0039	0.003	0.65
0.5	4.8	14.29956684449912	2.979076425937317	20.1	0.21	0.98	0.0042	0.0022	0.66
0.5	4.8	11.10960950814309	2.314501980863144	33.3	0.13	0.93	0.0044	0.0017	0.85
0.5	4.8	7.797359589505113	1.624449914480232	67.59999999999999	0.06	0.98	0.0042	0.0012	1
0.5	4.8	4.81874869473921	1.003905978070669	177	0.02	1	0.0041	0.00069	1
1.5	3.7	71.67635593415726	19.37198809031277	0.8	13	0.38	0.011	0.29	1
1.5	3.7	54.18223219575109	14.64384653939219	1.4	7.4	0.39	0.01	0.22	0.8
1.5	3.7	37.01351104664349	10.00365163422797	3	3.6	0.38	0.011	0.15	1
1.5	3.7	29.89110671871427	8.078677491544397	4.6	2.3	0.38	0.011	0.12	1.1
1.5	3.7	20.47895883833064	5.534853740089363	9.800000000000001	1.1	0.38	0.011	0.08500000000000001	1.1
1.5	3.7	9.709070761193965	2.624073178701071	43.6	0.26	0.36	0.011	0.04	1
1.5	3.7	5.711308748355986	1.543596959015131	126	0.09	0.38	0.011	0.024	1
1.5	3.7	4.283481561266989	1.157697719261348	224	0.05	0.36	0.011	0.018	1.1
3	0.9	54.18223219575109	60.20248021750121	1.4	17.8	0.17	0.024	1.8	1.9
3	0.9	39.01566636906542	43.35074041007269	2.7	10.8	0.14	0.029	1.3	1.9
3	0.9	29.26174977679906	32.51305530755452	4.8	5.1	0.17	0.024	0.98	1.8
3	0.9	24.05978469223322	26.73309410248135	7.1	3.4	0.17	0.024	0.8	1.6
3	0.9	14.29956684449912	15.88840760499902	20.1	1.4	0.14	0.028	0.48	1.5
3	0.9	10.80561722607106	12.00624136230118	35.2	0.8	0.15	0.027	0.36	1.3
3	0.9	8.652363144144037	9.613736826826708	54.9	0.48	0.16	0.026	0.29	1.5
3	0.9	5.622755962638306	6.247506625153672	130	0.19	0.17	0.024	0.19	1.45
3	0.9	4.499589472242908	4.999543858047676	203	0.12	0.17	0.024	0.15	1.4
5	0.6	15.11070260885752	25.18450434809586	18	2.8	0.08	0.051	2.4	1.7
5	0.6	13.42621159876221	22.37701933127034	22.8	2.2	0.082	0.05	2.1	1.65
5	0.6	12.18094623843065	20.30157706405109	27.7	1.8	0.082	0.05	1.9	1.63
5	0.6	10.77504964792526	17.95841607987543	35.4	1.4	0.083	0.05	1.7	1.6
5	0.6	9.776573804193227	16.29428967365538	43	1.1	0.08400000000000001	0.049	1.5	1.45
5	0.6	7.624497108187406	12.70749518031234	70.7	0.77	0.078	0.054	1.2	1.6
5	0.6	5.828116518118039	9.713527530196732	121	0.38	0.089	0.046	0.9	1.5
5	0.6	4.663264065655273	7.772106776092122	189	0.28	0.078	0.052	0.7	1.7
