             XT               P               v             tau
1.000000000E-02 2.937467792E-01 3.671834740E-01 5.446868232E-02
2.000000000E-02 2.938660025E-01 3.673325031E-01 1.088931681E-01
3.000000000E-02 2.938689837E-01 3.673362296E-01 1.633380951E-01
4.000000000E-02 2.938290675E-01 3.672863344E-01 2.178137124E-01
5.000000000E-02 2.937609249E-01 3.672011561E-01 2.723302972E-01
6.000000000E-02 2.936694423E-01 3.670868028E-01 3.268981589E-01
7.000000000E-02 2.935567105E-01 3.669458881E-01 3.815276435E-01
8.000000000E-02 2.934237737E-01 3.667797172E-01 4.362291384E-01
9.000000000E-02 2.932564187E-01 3.665705234E-01 4.910378455E-01
1.000000000E-01 2.930862105E-01 3.663577631E-01 5.459144589E-01
1.100000000E-01 2.928848232E-01 3.661060290E-01 6.009188120E-01
1.200000000E-01 2.926665345E-01 3.658331682E-01 6.560367427E-01
1.300000000E-01 2.924309908E-01 3.655387385E-01 7.112789223E-01
1.400000000E-01 2.921779437E-01 3.652224297E-01 7.666560902E-01
1.500000000E-01 2.919072160E-01 3.648840200E-01 8.221790584E-01
1.600000000E-01 2.916110080E-01 3.645137600E-01 8.778818117E-01
1.700000000E-01 2.913051077E-01 3.641313846E-01 9.337289077E-01
1.800000000E-01 2.909745227E-01 3.637181534E-01 9.897773774E-01
1.900000000E-01 2.906267274E-01 3.632834092E-01 1.046015288E+00
2.000000000E-01 2.902615702E-01 3.628269628E-01 1.102453900E+00
2.100000000E-01 2.898734330E-01 3.623417912E-01 1.159126577E+00
2.200000000E-01 2.894735476E-01 3.618419345E-01 1.216000574E+00
2.300000000E-01 2.890511030E-01 3.613138788E-01 1.273131277E+00
2.400000000E-01 2.886114823E-01 3.607643528E-01 1.330508395E+00
2.500000000E-01 2.881501953E-01 3.601877441E-01 1.388164945E+00
2.600000000E-01 2.876720139E-01 3.595900173E-01 1.446091312E+00
2.700000000E-01 2.871768358E-01 3.589710448E-01 1.504299603E+00
2.800000000E-01 2.866645817E-01 3.583307272E-01 1.562802064E+00
2.900000000E-01 2.861315894E-01 3.576644867E-01 1.621631505E+00
3.000000000E-01 2.855817474E-01 3.569771842E-01 1.680779687E+00
3.100000000E-01 2.850149940E-01 3.562687425E-01 1.740259321E+00
3.200000000E-01 2.844281449E-01 3.555351811E-01 1.800103151E+00
3.300000000E-01 2.838245783E-01 3.547807229E-01 1.860304006E+00
3.400000000E-01 2.832042514E-01 3.540053142E-01 1.920875119E+00
3.500000000E-01 2.825643780E-01 3.532054725E-01 1.981849248E+00
3.600000000E-01 2.819079242E-01 3.523849053E-01 2.043220323E+00
3.700000000E-01 2.812323277E-01 3.515404097E-01 2.105021157E+00
3.800000000E-01 2.805403155E-01 3.506753944E-01 2.167246440E+00
3.900000000E-01 2.798295273E-01 3.497869091E-01 2.229929079E+00
4.000000000E-01 2.791047330E-01 3.488809162E-01 2.293046030E+00
4.100000000E-01 2.783591645E-01 3.479489557E-01 2.356667513E+00
4.200000000E-01 2.775974955E-01 3.469968694E-01 2.420771120E+00
4.300000000E-01 2.768197249E-01 3.460246562E-01 2.485372024E+00
4.400000000E-01 2.760239262E-01 3.450299078E-01 2.550503537E+00
4.500000000E-01 2.752121932E-01 3.440152415E-01 2.616163156E+00
4.600000000E-01 2.743827442E-01 3.429784303E-01 2.682384426E+00
4.700000000E-01 2.735375316E-01 3.419219146E-01 2.749165701E+00
4.800000000E-01 2.726765811E-01 3.408457263E-01 2.816523506E+00
4.900000000E-01 2.717966942E-01 3.397458677E-01 2.884508961E+00
5.000000000E-01 2.709013678E-01 3.386267098E-01 2.953104321E+00
5.100000000E-01 2.699906368E-01 3.374882960E-01 3.022327032E+00
5.200000000E-01 2.690630877E-01 3.363288596E-01 3.092211597E+00
5.300000000E-01 2.681203249E-01 3.351504062E-01 3.162759109E+00
5.400000000E-01 2.671610394E-01 3.339512993E-01 3.234004486E+00
5.500000000E-01 2.661854250E-01 3.327317813E-01 3.305966132E+00
5.600000000E-01 2.651949433E-01 3.314936791E-01 3.378646624E+00
5.700000000E-01 2.641884254E-01 3.302355317E-01 3.452081592E+00
5.800000000E-01 2.631672498E-01 3.289590623E-01 3.526274643E+00
5.900000000E-01 2.621303349E-01 3.276629186E-01 3.601261946E+00
6.000000000E-01 2.610778681E-01 3.263473351E-01 3.677063885E+00
6.100000000E-01 2.600111144E-01 3.250138930E-01 3.753685693E+00
6.200000000E-01 2.589291096E-01 3.236613870E-01 3.831164451E+00
6.300000000E-01 2.578320399E-01 3.222900499E-01 3.909521875E+00
6.400000000E-01 2.567210701E-01 3.209013376E-01 3.988764925E+00
6.500000000E-01 2.555953428E-01 3.194941785E-01 4.068931729E+00
6.600000000E-01 2.544550445E-01 3.180688056E-01 4.150045451E+00
6.700000000E-01 2.533012520E-01 3.166265650E-01 4.232114889E+00
6.800000000E-01 2.521332049E-01 3.151665062E-01 4.315179353E+00
6.900000000E-01 2.509510915E-01 3.136888644E-01 4.399263591E+00
7.000000000E-01 2.497559106E-01 3.121948882E-01 4.484378358E+00
7.100000000E-01 2.485462046E-01 3.106827558E-01 4.570578745E+00
7.200000000E-01 2.473237598E-01 3.091546998E-01 4.657862232E+00
7.300000000E-01 2.460886955E-01 3.076108694E-01 4.746256212E+00
7.400000000E-01 2.448397052E-01 3.060496315E-01 4.835816965E+00
7.500000000E-01 2.435784363E-01 3.044730454E-01 4.926544477E+00
7.600000000E-01 2.423043465E-01 3.028804331E-01 5.018481994E+00
7.700000000E-01 2.410176322E-01 3.012720402E-01 5.111659213E+00
7.800000000E-01 2.397184906E-01 2.996481132E-01 5.206106534E+00
7.900000000E-01 2.384077329E-01 2.980096661E-01 5.301841449E+00
8.000000000E-01 2.370843142E-01 2.963553927E-01 5.398923183E+00
8.100000000E-01 2.357496434E-01 2.946870543E-01 5.497357202E+00
8.200000000E-01 2.344033112E-01 2.930041390E-01 5.597190558E+00
8.300000000E-01 2.330460643E-01 2.913075804E-01 5.698444228E+00
8.400000000E-01 2.316770085E-01 2.895962606E-01 5.801179879E+00
8.500000000E-01 2.302974198E-01 2.878717747E-01 5.905407022E+00
8.600000000E-01 2.289064724E-01 2.861330905E-01 6.011188699E+00
8.700000000E-01 2.275053818E-01 2.843817272E-01 6.118536577E+00
8.800000000E-01 2.260938515E-01 2.826173143E-01 6.227502389E+00
8.900000000E-01 2.246720963E-01 2.808401203E-01 6.338125756E+00
9.000000000E-01 2.232403326E-01 2.790504157E-01 6.450447298E+00
9.100000000E-01 2.217987783E-01 2.772484729E-01 6.564508656E+00
9.200000000E-01 2.203476531E-01 2.754345663E-01 6.680352522E+00
9.300000000E-01 2.188875769E-01 2.736094711E-01 6.798010291E+00
9.400000000E-01 2.174179627E-01 2.717724534E-01 6.917551710E+00
9.500000000E-01 2.159398214E-01 2.699247767E-01 7.038998135E+00
9.600000000E-01 2.144526175E-01 2.680657718E-01 7.162421323E+00
9.700000000E-01 2.129573179E-01 2.661966474E-01 7.287845354E+00
9.800000000E-01 2.114534364E-01 2.643167955E-01 7.415344139E+00
9.900000000E-01 2.099418988E-01 2.624273735E-01 7.544944622E+00
1.000000000E+00 2.084222647E-01 2.605278309E-01 7.676723032E+00
1.010000000E+00 2.068954218E-01 2.586192773E-01 7.810709323E+00
1.020000000E+00 2.053612752E-01 2.567015940E-01 7.946970520E+00
1.030000000E+00 2.038197704E-01 2.547747130E-01 8.085574805E+00
1.040000000E+00 2.022717415E-01 2.528396769E-01 8.226556945E+00
1.050000000E+00 2.007168529E-01 2.508960661E-01 8.369999708E+00
1.060000000E+00 1.991559055E-01 2.489448819E-01 8.515941294E+00
1.070000000E+00 1.975886016E-01 2.469857520E-01 8.664467414E+00
1.080000000E+00 1.960157112E-01 2.450196390E-01 8.815619879E+00
1.090000000E+00 1.944369719E-01 2.430462149E-01 8.969487555E+00
1.100000000E+00 1.928528898E-01 2.410661123E-01 9.126127181E+00
1.110000000E+00 1.912639413E-01 2.390799266E-01 9.285597631E+00
1.120000000E+00 1.896699138E-01 2.370873923E-01 9.447992905E+00
1.130000000E+00 1.880712937E-01 2.350891171E-01 9.613375675E+00
1.140000000E+00 1.864683333E-01 2.330854166E-01 9.781821760E+00
1.150000000E+00 1.848612860E-01 2.310766075E-01 9.953409068E+00
1.160000000E+00 1.832502123E-01 2.290627653E-01 1.012822838E+01
1.170000000E+00 1.816357619E-01 2.270447024E-01 1.030634045E+01
1.180000000E+00 1.800178089E-01 2.250222611E-01 1.048785124E+01
1.190000000E+00 1.783969802E-01 2.229962252E-01 1.067282640E+01
1.200000000E+00 1.767731752E-01 2.209664690E-01 1.086137644E+01
1.210000000E+00 1.751468342E-01 2.189335427E-01 1.105358261E+01
1.220000000E+00 1.735182160E-01 2.168977700E-01 1.124953936E+01
1.230000000E+00 1.718875801E-01 2.148594751E-01 1.144934380E+01
1.240000000E+00 1.702550367E-01 2.128187959E-01 1.165310606E+01
1.250000000E+00 1.686210056E-01 2.107762570E-01 1.186091847E+01
1.260000000E+00 1.669858871E-01 2.087323589E-01 1.207287655E+01
1.270000000E+00 1.653496569E-01 2.066870712E-01 1.228910926E+01
1.280000000E+00 1.637125898E-01 2.046407372E-01 1.250972820E+01
1.290000000E+00 1.620752127E-01 2.025940159E-01 1.273482827E+01
1.300000000E+00 1.604375286E-01 2.005469108E-01 1.296454775E+01
1.310000000E+00 1.587999290E-01 1.984999112E-01 1.319899835E+01
1.320000000E+00 1.571626740E-01 1.964533425E-01 1.343830533E+01
1.330000000E+00 1.555260238E-01 1.944075297E-01 1.368259760E+01
1.340000000E+00 1.538901309E-01 1.923626636E-01 1.393201752E+01
1.350000000E+00 1.522553690E-01 1.903192112E-01 1.418669184E+01
1.360000000E+00 1.506219963E-01 1.882774954E-01 1.444676112E+01
1.370000000E+00 1.489902708E-01 1.862378385E-01 1.471237006E+01
1.380000000E+00 1.473603563E-01 1.842004453E-01 1.498367713E+01
1.390000000E+00 1.457326086E-01 1.821657607E-01 1.526082612E+01
1.400000000E+00 1.441072829E-01 1.801341036E-01 1.554397498E+01
1.410000000E+00 1.424845493E-01 1.781056867E-01 1.583329568E+01
1.420000000E+00 1.408647507E-01 1.760809384E-01 1.612894630E+01
1.430000000E+00 1.392481385E-01 1.740601732E-01 1.643109936E+01
1.440000000E+00 1.376349631E-01 1.720437038E-01 1.673993256E+01
1.450000000E+00 1.360254003E-01 1.700317504E-01 1.705563810E+01
1.460000000E+00 1.344197052E-01 1.680246315E-01 1.737840443E+01
1.470000000E+00 1.328182665E-01 1.660228331E-01 1.770840760E+01
1.480000000E+00 1.312211897E-01 1.640264871E-01 1.804586595E+01
1.490000000E+00 1.296287869E-01 1.620359837E-01 1.839097670E+01
1.500000000E+00 1.280412372E-01 1.600515465E-01 1.874396134E+01
1.510000000E+00 1.264588437E-01 1.580735546E-01 1.910502998E+01
1.520000000E+00 1.248818420E-01 1.561023025E-01 1.947440846E+01
1.530000000E+00 1.233104110E-01 1.541380138E-01 1.985233834E+01
1.540000000E+00 1.217448404E-01 1.521810504E-01 2.023905073E+01
1.550000000E+00 1.201853079E-01 1.502316349E-01 2.063480173E+01
1.560000000E+00 1.186321429E-01 1.482901786E-01 2.103982900E+01
1.570000000E+00 1.170854222E-01 1.463567777E-01 2.145442151E+01
1.580000000E+00 1.155454675E-01 1.444318344E-01 2.187883311E+01
1.590000000E+00 1.140124965E-01 1.425156206E-01 2.231334352E+01
1.600000000E+00 1.124867240E-01 1.406084049E-01 2.275824124E+01
1.610000000E+00 1.109683213E-01 1.387104017E-01 2.321383228E+01
1.620000000E+00 1.094575020E-01 1.368218775E-01 2.368042348E+01
1.630000000E+00 1.079545131E-01 1.349431414E-01 2.415832303E+01
1.640000000E+00 1.064595568E-01 1.330744460E-01 2.464785764E+01
1.650000000E+00 1.049727973E-01 1.312159966E-01 2.514937268E+01
1.660000000E+00 1.034944672E-01 1.293680839E-01 2.566320764E+01
1.670000000E+00 1.020247262E-01 1.275309078E-01 2.618972968E+01
1.680000000E+00 1.005637971E-01 1.257047463E-01 2.672930098E+01
1.690000000E+00 9.911183463E-02 1.238897933E-01 2.728231205E+01
1.700000000E+00 9.766905140E-02 1.220863143E-01 2.784914936E+01
