             XT       f1=1,f2=1     f1=1,f2=0.1    f1=1,f2=0.01     f1=1.3,f2=1   f1=1.3,f2=0.1  f1=1.3,f2=0.01     f1=2.8,f2=1   f1=2.8,f2=0.1  f1=2.8,f2=0.01   f1=Inf,f2=Inf 
3.981071706E-02 1.051018316E-01 1.051018316E-01 1.044685015E-01 1.957827391E-01 1.957827391E-01 1.944568874E-01 2.922843716E-01 2.922843716E-01 2.900732670E-01 2.938586377E-01
4.068485478E-02 1.050796559E-01 1.050796559E-01 1.044095762E-01 1.957412203E-01 1.957412203E-01 1.943411823E-01 2.922220542E-01 2.922220542E-01 2.898911243E-01 2.937959792E-01
4.157818624E-02 1.051068027E-01 1.051068027E-01 1.044122045E-01 1.957915742E-01 1.957915742E-01 1.943398574E-01 2.922968861E-01 2.922968861E-01 2.898792957E-01 2.938712085E-01
4.249113290E-02 1.050920432E-01 1.050920432E-01 1.043661416E-01 1.957638519E-01 1.957638519E-01 1.942477057E-01 2.922551365E-01 2.922551365E-01 2.897316744E-01 2.938292281E-01
4.342412544E-02 1.050826721E-01 1.050826721E-01 1.043274653E-01 1.957461575E-01 1.957461575E-01 1.941691089E-01 2.922283424E-01 2.922283424E-01 2.896039670E-01 2.938022835E-01
4.437760402E-02 1.050793896E-01 1.050793896E-01 1.042964324E-01 1.957397947E-01 1.957397947E-01 1.941045444E-01 2.922184495E-01 2.922184495E-01 2.894968836E-01 2.937923309E-01
4.535201846E-02 1.050828444E-01 1.050828444E-01 1.042732825E-01 1.957459721E-01 1.957459721E-01 1.940544565E-01 2.922272614E-01 2.922272614E-01 2.894110854E-01 2.938011835E-01
4.634782846E-02 1.050936376E-01 1.050936376E-01 1.042582386E-01 1.957658087E-01 1.957658087E-01 1.940192592E-01 2.922564483E-01 2.922564483E-01 2.893471878E-01 2.938305206E-01
4.736550380E-02 1.050723369E-01 1.050723369E-01 1.042024192E-01 1.957258458E-01 1.957258458E-01 1.939079842E-01 2.921963359E-01 2.921963359E-01 2.891695239E-01 2.937700770E-01
4.840552459E-02 1.050611448E-01 1.050611448E-01 1.041800876E-01 1.957047014E-01 1.957047014E-01 1.938586407E-01 2.921642995E-01 2.921642995E-01 2.890836084E-01 2.937378603E-01
4.946838148E-02 1.050604606E-01 1.050604606E-01 1.041444836E-01 1.957031191E-01 1.957031191E-01 1.937846010E-01 2.921614486E-01 2.921614486E-01 2.889608693E-01 2.937349861E-01
5.055457589E-02 1.050706496E-01 1.050706496E-01 1.041193705E-01 1.957217791E-01 1.957217791E-01 1.937298896E-01 2.921887977E-01 2.921887977E-01 2.888666495E-01 2.937624741E-01
5.166462024E-02 1.050553841E-01 1.050553841E-01 1.040592349E-01 1.956930055E-01 1.956930055E-01 1.936098194E-01 2.921453058E-01 2.921453058E-01 2.886746690E-01 2.937187392E-01
5.279903823E-02 1.050531778E-01 1.050531778E-01 1.040329100E-01 1.956885449E-01 1.956885449E-01 1.935522740E-01 2.921380897E-01 2.921380897E-01 2.885753109E-01 2.937114751E-01
5.395836502E-02 1.050642344E-01 1.050642344E-01 1.039969806E-01 1.957087767E-01 1.957087767E-01 1.934768613E-01 2.921677148E-01 2.921677148E-01 2.884493191E-01 2.937412503E-01
5.514314755E-02 1.050543779E-01 1.050543779E-01 1.039509265E-01 1.956900329E-01 1.956900329E-01 1.933822267E-01 2.921391233E-01 2.921391233E-01 2.882940615E-01 2.937124948E-01
5.635394477E-02 1.050595709E-01 1.050595709E-01 1.039179577E-01 1.956993083E-01 1.956993083E-01 1.933117461E-01 2.921523381E-01 2.921523381E-01 2.881745169E-01 2.937257704E-01
5.759132788E-02 1.050469855E-01 1.050469855E-01 1.038763705E-01 1.956754461E-01 1.956754461E-01 1.932248479E-01 2.921160498E-01 2.921160498E-01 2.880298918E-01 2.936892758E-01
5.885588063E-02 1.050509645E-01 1.050509645E-01 1.038289871E-01 1.956824236E-01 1.956824236E-01 1.931271732E-01 2.921257765E-01 2.921257765E-01 2.878692137E-01 2.936990436E-01
6.014819962E-02 1.050399790E-01 1.050399790E-01 1.037751026E-01 1.956615042E-01 1.956615042E-01 1.930170244E-01 2.920938219E-01 2.920938219E-01 2.876893417E-01 2.936669049E-01
6.146889449E-02 1.050468259E-01 1.050468259E-01 1.037362221E-01 1.956737852E-01 1.956737852E-01 1.929345966E-01 2.921114045E-01 2.921114045E-01 2.875504975E-01 2.936845699E-01
6.281858833E-02 1.050412248E-01 1.050412248E-01 1.036920355E-01 1.956628555E-01 1.956628555E-01 1.928419185E-01 2.920942994E-01 2.920942994E-01 2.873957760E-01 2.936673598E-01
6.419791786E-02 1.050249809E-01 1.050249809E-01 1.036434525E-01 1.956320767E-01 1.956320767E-01 1.927406842E-01 2.920475241E-01 2.920475241E-01 2.872277063E-01 2.936203190E-01
6.560753380E-02 1.050286829E-01 1.050286829E-01 1.035930723E-01 1.956384334E-01 1.956384334E-01 1.926361155E-01 2.920561572E-01 2.920561572E-01 2.870546839E-01 2.936289845E-01
6.704810117E-02 1.050238168E-01 1.050238168E-01 1.035399811E-01 1.956288041E-01 1.956288041E-01 1.925261279E-01 2.920408846E-01 2.920408846E-01 2.868729942E-01 2.936136149E-01
6.852029958E-02 1.050119375E-01 1.050119375E-01 1.034849587E-01 1.956060847E-01 1.956060847E-01 1.924121734E-01 2.920060281E-01 2.920060281E-01 2.866848038E-01 2.935785553E-01
7.002482356E-02 1.049945128E-01 1.049945128E-01 1.034287439E-01 1.955730080E-01 1.955730080E-01 1.922956274E-01 2.919556661E-01 2.919556661E-01 2.864921654E-01 2.935279060E-01
7.156238290E-02 1.049994050E-01 1.049994050E-01 1.033737658E-01 1.955814800E-01 1.955814800E-01 1.921813913E-01 2.919672955E-01 2.919672955E-01 2.863029906E-01 2.935395813E-01
7.313370296E-02 1.050002936E-01 1.050002936E-01 1.033350069E-01 1.955824650E-01 1.955824650E-01 1.920967440E-01 2.919677016E-01 2.919677016E-01 2.861570099E-01 2.935399721E-01
7.473952503E-02 1.049730667E-01 1.049730667E-01 1.032632032E-01 1.955310417E-01 1.955310417E-01 1.919502902E-01 2.918898111E-01 2.918898111E-01 2.859183693E-01 2.934616437E-01
7.638060670E-02 1.049701720E-01 1.049701720E-01 1.031951347E-01 1.955249178E-01 1.955249178E-01 1.918107956E-01 2.918795068E-01 2.918795068E-01 2.856901257E-01 2.934512649E-01
7.805772217E-02 1.049667957E-01 1.049667957E-01 1.031447268E-01 1.955178645E-01 1.955178645E-01 1.917035699E-01 2.918677634E-01 2.918677634E-01 2.855090710E-01 2.934394384E-01
7.977166265E-02 1.049639708E-01 1.049639708E-01 1.030819442E-01 1.955118048E-01 1.955118048E-01 1.915731645E-01 2.918574502E-01 2.918574502E-01 2.852932165E-01 2.934290489E-01
8.152323671E-02 1.049394030E-01 1.049394030E-01 1.030064348E-01 1.954652023E-01 1.954652023E-01 1.914185495E-01 2.917865469E-01 2.917865469E-01 2.850404361E-01 2.933577418E-01
8.331327069E-02 1.049410076E-01 1.049410076E-01 1.029514268E-01 1.954673229E-01 1.954673229E-01 1.913018628E-01 2.917883334E-01 2.917883334E-01 2.848438740E-01 2.933595153E-01
8.514260907E-02 1.049235834E-01 1.049235834E-01 1.028711627E-01 1.954339539E-01 1.954339539E-01 1.911378780E-01 2.917370693E-01 2.917370693E-01 2.845763138E-01 2.933079514E-01
8.701211486E-02 1.049111359E-01 1.049111359E-01 1.028104395E-01 1.954098164E-01 1.954098164E-01 1.910096553E-01 2.916995250E-01 2.916995250E-01 2.843611455E-01 2.932701801E-01
8.892267004E-02 1.049043556E-01 1.049043556E-01 1.027285668E-01 1.953961954E-01 1.953961954E-01 1.908421544E-01 2.916776169E-01 2.916776169E-01 2.840875348E-01 2.932481282E-01
9.087517595E-02 1.049038820E-01 1.049038820E-01 1.026668559E-01 1.953942806E-01 1.953942806E-01 1.907115663E-01 2.916731184E-01 2.916731184E-01 2.838680265E-01 2.932435786E-01
9.287055370E-02 1.048898726E-01 1.048898726E-01 1.025973318E-01 1.953671021E-01 1.953671021E-01 1.905659163E-01 2.916308256E-01 2.916308256E-01 2.836252443E-01 2.932010298E-01
9.490974465E-02 1.048841686E-01 1.048841686E-01 1.025227398E-01 1.953553499E-01 1.953553499E-01 1.904106856E-01 2.916114909E-01 2.916114909E-01 2.833679490E-01 2.931815617E-01
